partid,cdep_idm,nume,data_declaratie,terenuri_count,cladiri_count,suprafata_total_mp,conturi_total_ron,venituri_anuale_ron,datorii_total_ron,auto_count,text_extracted,error
PSD,80,"Cotîrleţ Paul-Claudiu",2025-01-19,1,1,1081,348000,186999,0,4,True,
PSD,93,"Dolineaschi Andrei",2025-05-29,0,1,65,0,363216,35350,6,True,
PSD,95,"Drinceanu Vlad-Florentin",2025-06-03,1,2,2192,0,211067,387500,5,True,
PSD,97,"Dunava Costel Neculai",2024-12-21,10,4,45069,732481,249375,1344466,5,True,
PSD,102,"Ene Gabriela-Corina",2025-01-13,1,1,125,0,448038,0,6,True,
PSD,106,"Fifor Mihai-Viorel",2025-06-11,0,1,55,0,452370,357932,6,True,
PSD,109,"Furtună Mirela",2025-05-15,5,6,3284,198200,536264,0,5,True,
PSD,115,"Gavrilescu Graţiela Leocadia",2025-06-11,22,4,36803,27060,468470,137495,7,True,
PSD,116,"Geamănu Aurora-Adela",2025-01-15,3,1,10148,0,105660,298000,4,True,
PSD,117,"Georgescu Gheorghe-Daniel",2025-01-20,9,4,42528,2200600,390324,0,5,True,
PSD,124,"Ghigiu Alexandru-Mihai",2025-06-11,0,2,139,0,695088,169519,4,True,
PSD,127,"Gliga Dumitriţa",2024-12-31,7,3,11373,2077126,1594208,0,4,True,
PSD,130,"Govor Mircea-Vasile",2025-05-30,0,0,0,0,400091,0,4,True,
PSD,131,"Grindeanu Sorin-Mihai",2025-01-19,4,2,5471,0,299065,374620,4,True,
PSD,138,"Hagiu Augustin-Florin",2025-05-14,2,2,598,0,246929,128407,5,True,
PSD,141,"Holban Georgeta-Carmen",2025-06-11,4,5,6424,35880,531099,315935,5,True,
PSD,145,"Iancu Marius-Ionel",2024-12-29,20,2,27652,150000,222794,143000,6,True,
PSD,147,"Intotero Natalia-Elena",2025-06-11,5,4,19603,302750,449326,160058,8,True,
PSD,156,"Isac Marius-Adrian",2024-12-31,2,9,12573,0,1138346,743815,5,True,
PSD,157,"Ivan Bogdan-Gruia",2024-12-30,2,1,1115,282440,227616,548000,6,True,
PSD,168,"Lăpuşan Remus-Gabriel",2025-06-06,13,4,118877,2831857,947384,0,4,True,
PSD,170,"Lipă Elisabeta",2025-06-12,2,3,21354,198000,597335,0,4,True,
PSD,174,"Lungu Romeo-Daniel",2025-06-05,1,2,459,0,421779,304456,5,True,
PSD,177,"Manole Petre-Florin",2024-12-21,1,1,461,1340500,259210,0,4,True,
PSD,178,"Manta Claudiu",2024-12-30,3,4,1522,655364,641289,329800,5,True,
PSD,179,"Marinescu Radu",2025-01-19,0,3,163,0,698042,278588,5,True,
PSD,184,"Matichescu Mirela-Florenţa",2025-03-11,2,5,2034,703670,616155,0,5,True,
PSD,186,"Mărgărit Mitică-Marius",2025-06-11,0,2,130,696000,1287331,1250000,4,True,
PSD,190,"Mihalcea Ioan",2025-06-04,3,9,6093,2400668,774859,0,7,True,
PSD,191,"Mihalcea Remus-Gabriel",2024-12-23,2,0,1006,351600,6616188,16048414,6,True,
PSD,192,"Mihalcea Silvia-Claudia",2025-03-26,0,3,309,0,141482,884400,4,True,
PSD,194,"Mihuţi Bogdan-Florian",2025-01-27,0,0,0,0,68130,198000,4,True,
PSD,196,"Mina Marian",2024-12-23,0,3,432,0,152508,128000,4,True,
PSD,197,"Mircea Florin",2025-05-20,2,5,1744,0,299719,0,6,True,
PSD,202,"Mîndroc Cătălin-Viorel",2024-12-23,3,2,8208,0,199668,0,4,True,
PSD,207,"Morar Lucian-Ioan-Titus",2025-01-19,4,1,10895,198000,209685,0,6,True,
PSD,219,"Nassar Rodica",2025-06-10,2,3,6493,28500,869840,0,4,True,
PSD,222,"Neacşu Marian",2025-06-11,1,2,1625,1006723,477225,0,4,True,
PSD,225,"Neaţă Eugen",2025-06-04,3,2,1359,198000,392337,62800,5,True,
PSD,226,"Neculaescu Laurenţiu Adrian",2025-01-20,0,1,80,0,255706,200000,4,True,
PSD,242,"Peţa-Ştefănescu Eliza-Mădălina",2025-06-05,0,0,0,0,138256,0,4,True,
PSD,246,"Plopeanu Rodica",2025-06-06,1,2,1025,418312,35950,0,5,True,
PSD,248,"Ponta Victor-Viorel",2025-01-10,0,3,377,190000,259295,0,5,True,
PSD,251,"Popa Dorin",2025-01-20,1,1,2087,0,23420,0,11,True,
PSD,252,"Popa George-Adrian",2025-01-14,0,3,199,198000,206479,439381,4,True,
PSD,253,"Popa Maricel",2025-06-04,8,3,45833,308510,650168,17136,5,True,
PSD,254,"Popa Ştefan-Ovidiu",2025-06-03,15,4,35291,0,398130,100000,6,True,
PSD,264,"Rafila Alexandru",2024-12-23,3,2,3717,3575016,443395,0,5,True,
PSD,265,"Răducanu Sebastian",2025-01-03,1,1,725,130150,518360,1870664,5,True,
PSD,268,"Rinder Ana-Smaranda",2025-06-03,1,4,398,0,227797,359434,6,True,
PSD,270,"Rogobete Alexandru-Florin",2025-06-10,0,0,0,206000,231532,720810,4,True,
PSD,274,"Samoilă Ion",2025-06-10,3,3,7544,90000,420743,0,4,True,
PSD,275,"Sandu Viorica",2025-01-23,4,3,3046,66280,265668,277200,5,True,
PSD,281,"Solomon Adrian",2025-01-13,4,3,937,50000,148584,437234,8,True,
PSD,284,"Stoenică Irina-Florentina",2025-01-08,1,1,637,0,126886,873595,5,True,
PSD,290,"Suciu Vasile-Daniel",2025-05-27,4,2,3010,273000,501751,377863,6,True,
PSD,292,"Szőke Ecaterina-Mariana",2025-01-20,1,1,385,0,96708,909000,6,True,
PSD,294,"Şerban Ciprian-Constantin",2024-12-24,0,4,138,0,153580,126250,4,True,
PSD,302,"Tîlvăr Angel",2024-12-29,0,0,0,0,254782,0,8,True,
PSD,303,"Toader Bogdan-Andrei",2025-06-12,10,4,33946,0,227520,120000,6,True,
PSD,305,"Toma Ilie",2024-12-31,1,2,3525,223000,215970,0,6,True,
PSD,306,"Tomoescu Ion-Alin",2025-01-19,3,1,2939,0,462226,265550,6,True,
PSD,307,"Trif Bogdan Gheorghe",2025-06-12,0,1,83,0,242018,0,6,True,
PSD,309,"Tuşa Adriana Diana",2024-12-24,2,7,2506,31477361,5278316,0,4,True,
PSD,310,"Ţintă Ştefan",2025-06-02,3,4,5249,1278420,1003214,13450,4,True,
PSD,324,"Vulpescu Ioan",2025-02-17,1,1,85,198000,153597,400000,4,True,
PSD,326,"Vuşcan Voicu",2025-06-04,3,2,23334,6432247,1427820,0,7,True,
PSD,327,"Weber Mihai",2025-06-10,4,2,141440,193576,1657280,171800,6,True,
USR,4,"Alecsandru Marius-Nicolae",2024-12-31,3,1,100,0,119520,146450,4,True,
USR,12,"Atanasiu Corina",2025-01-20,2,1,925,31399,477388,105789,5,True,
USR,26,"Berescu Monica-Elena",2025-06-10,7,2,5364,2663088,1720926,0,6,True,
USR,29,"Blaga Daniel-Codruţ",2025-01-16,3,3,5791,528330,169351,0,7,True,
USR,36,"Botez Mihai-Cătălin",2025-05-20,0,0,0,60000,131412,0,6,True,
USR,44,"Bulai Iulian",2024-12-30,4,5,9072,0,153156,0,5,True,
USR,45,"Bulearcă Marius-Felix",2025-06-05,3,2,13170,0,401858,0,7,True,
USR,48,"Buzoianu Diana-Anda",2024-12-29,0,0,0,120000,137256,0,4,True,
USR,73,"Coliban Allen",2025-01-08,0,1,45,130000,229036,50250,6,True,
USR,82,"Cristian Brian",2025-01-20,0,0,0,205853,138913,130000,4,True,
USR,90,"Dimitriu Alexandru-Paul",2025-02-10,1,5,605,309000,802330,202000,5,True,
USR,94,"Drăgoescu Cezar-Mihail",2025-01-21,3,5,945,0,145936,885520,7,True,
USR,96,"Drulă Cătălin",2025-06-06,1,0,1490,11542022,203880,0,5,True,
USR,98,"Echert Adrian",2025-04-30,2,2,748,0,376383,0,5,True,
USR,121,"Gheorghiu Andrei-Florin",2024-12-31,0,1,54,0,204890,0,5,True,
USR,125,"Gima George",2025-06-12,0,3,185,0,172604,208206,4,True,
USR,126,"Giurgiu Adrian",2025-01-19,7,7,4170,100000,146016,150000,6,True,
USR,140,"Hangan Pollyanna-Hanellore",2024-12-29,3,3,1102,101871,162859,0,5,True,
USR,149,"Ion Stelian-Cristian",2024-12-31,0,1,80,165000,142169,0,6,True,
USR,167,"Lazăr Teodor",2025-06-03,35,6,71465,100000,194459,0,5,True,
USR,172,"Lőrincz Ştefan-Iulian",2025-06-05,0,0,0,0,134230,0,4,True,
USR,181,"Marussi George-Nicolae",2025-01-16,3,4,4264,480609,525718,252500,5,True,
USR,189,"Mihaiu Radu-Nicolae",2025-01-13,1,2,451,106420,365357,75750,4,True,
USR,198,"Miruţă Radu-Dinel",2025-01-03,4,3,1720,249097,484554,0,6,True,
USR,209,"Moşteanu Liviu-Ionuţ",2025-01-20,0,6,210,454836,311393,0,4,True,
USR,213,"Murariu Oana",2025-06-10,10,4,21339,0,174246,0,7,True,
USR,220,"Năsui Claudiu-Iulius-Gavril",2025-02-17,1,2,159,408119,211463,0,5,True,
USR,236,"Paraschivescu Ovidiu-Romulus",2024-12-31,7,2,6112,200,578760,738365,6,True,
USR,247,"Plujar Andrei George",2024-12-31,0,1,126,0,85128,201800,5,True,
USR,260,"Prună Cristina-Mădălina",2025-06-09,0,1,49,30921,141073,0,4,True,
USR,267,"Rigman Ciprian-Doru",2025-01-19,1,1,309,0,324319,126250,5,True,
USR,269,"Rodeanu Bogdan-Ionel",2025-01-19,4,3,53438,0,164256,250697,5,True,
USR,285,"Stoica Alin-Bogdan",2025-06-09,0,1,70,0,331711,0,6,True,
USR,287,"Stoica Diana",2024-12-29,0,1,94,75000,137330,0,5,True,
USR,293,"Şendroiu Vlad-Ioan",2025-01-13,1,1,908,50000,208253,411981,5,True,
USR,299,"Tanasă Ştefan",2025-01-20,1,0,4963,0,0,0,4,True,
USR,313,"Ţoiu Oana-Silvia",2025-01-21,1,3,535,50000,650249,0,4,True,
USR,314,"Ungureanu Emanuel-Dumitru",2024-12-31,1,4,1128,198000,636756,538374,6,True,
USR,317,"Văduva Dumitru",2024-12-31,1,1,870,379000,440672,143000,5,True,
USR,328,"Wiener Adrian",2024-12-23,1,3,1302,85000,219628,302500,5,True,
