ID,Denumire,Ordine,Logo,CUI,Adresa,Judet,UAT,tip-partid
PDU,PARTIDUL DIASPORA UNITĂ,,lipsa.jpg,43171730,"MUNICIPIUL BUCUREŞTI, SECTORUL 2, MUNICIPIUL BUCUREŞTI, SECTORUL 2, str. SOS.VERGULUI, nr. 67, bl. 15D, ap. 54",B,București,
PNRO,PARTIDUL NOUA ROMÂNIE,,lipsa.jpg,34940443,"MUNICIPIUL BUCUREŞTI, SECTORUL 3, str. Halelor, nr. 17, ap. 1B, CP030118",B,București,
PNGCD,PARTIDUL NOUA GENERAȚIE - CREȘTIN DEMOCRAT,,PNGCD.jpg,12622830,"MUNICIPIUL BUCUREŞTI, SECTORUL 3, str. Blanari, nr. 21-23",B,București,
PPPS,PARTIDUL POPULAR ȘI AL PROTECȚIEI SOCIALE,,lipsa.jpg,8501392,"Strada Academiei, Sector 3, Municipiul București",B,București,
PNREP,PARTIDUL NOUA REPUBLICĂ,,lipsa.jpg,31388973,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Schitu Măgureanu, nr. 17, ap. 1, CP10182",B,București,
ANR,ALIANȚA NOASTRĂ ROMÂNIA,,lipsa.jpg,36414623,"MUNICIPIUL BUCUREŞTI, SECTORUL 5, str. SABINELOR, nr. 31, bl. CORP A, ap. 2",,București,
PPMT,PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA,,lipsa.jpg,29378420,"CLUJ, MUNICIPIUL CLUJ-NAPOCA, str. Suceava, nr. 17, CP400219",CJ,Cluj-Napoca,
PRU,PARTIDUL ROMÂNIA UNITĂ,,PRU.jpg,34494529,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Bdl. Alexandru I. Cuza, nr. 41, CP011051",B,București,
PACT,Partidul Platforma Acțiunea Civică a Tinerilor,,lipsa.jpg,35971650,"Șoseaua Nicolae Titulescu, Sector 1, Municipiul București",B,București,
ACD,PARTIDUL ALIANȚA CREȘTIN DEMOCRATĂ,,lipsa.jpg,41590782,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. SMOCHINULUI, nr. 32",,București,
PANA,PARTIDUL ACȚIUNEA NAȚIONALĂ ALBA,,lipsa.jpg,41383850,"ALBA, IGHIU, str. SAT BUCERDEA VINOASA, STR. PRINCIPALA, nr. 105, CP517361",AB,,
PAE,PARTIDUL ALTERNATIVA ECOLOGISTĂ,,lipsa.jpg,14950388,"Strada Ady Endre, Sector 1, Municipiul București",B,București,
PSRO,PARTIDUL SOCIAL ROMÂNESC,,PSRO.jpg,32449521,"MUNICIPIUL BUCUREŞTI, SECTORUL 5, str. ALEEA BOTORANI, nr. 7, bl. V37, ap. 25",B,București,
PLUS,"PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE",,PLUS.jpg,40337570,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. FINLANDA, nr. 15",B,București,
ANT,ALIANȚA NAȚIONAL ȚARANISTĂ,,lipsa.jpg,35718837,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. N.CONSTANTINESCU, nr. 7, bl. 14A, ap. 14",,București,
UNPR,UNIUNEA NAȚIONALĂ PENTRU PROGRESUL ROMÂNIEI,,UNPR.jpg,27494526,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. GHEORGHE BRATIANU, nr. 7",B,București,
PPOP,PARTIDUL POPULAR,,lipsa.jpg,15726665,"Strada Pecetei, Sector 1, Municipiul București",B,București,
