ID,Denumire,Ordine,Logo,CUI,Adresa,Judet,UAT,tip-partid
PUNCRR,PARTIDUL UNIUNEA NAȚIONALĂ CREȘTINĂ A ROMILOR DIN ROMÂNIA,,lipsa.jpg,,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Izbiceni, nr. 73, CP13252",B,București,
PUSR,PARTIDUL UNITAȚII SOCIALE DIN ROMÂNIA,,lipsa.jpg,35644187,"BRAŞOV, MUNICIPIUL BRAŞOV, str. 13 DECEMBRIE, nr. 6, ap. 1",BV,,
UND,PARTIDUL POLITIC UNIUNEA NATIVILOR DIGITALI,,lipsa.jpg,,"DOLJ, MUNICIPIUL CRAIOVA, str. Brestei, nr. 3C, ap. CAMERA 25",DJ,,
A.C.D.,ALIANTA DE CENTRU DREAPTA P.N.L-P.C,,lipsa.jpg,30050663,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. BD.AVIATORILOR, nr. 86",,București,
AAA,PARTIDUL ALIANȚA ALBEȘTII DE ARGEȘ,,lipsa.jpg,45724640,"ARGEŞ, ALBEŞTII DE ARGEŞ, str. SAT DOBROTU",AG,,
ACDR,ALIANȚA CIVICĂ DEMOCRATĂ A ROMILOR,,lipsa.jpg,,,,,
ACL PNL+PDL,ACL PNL+PDL,,lipsa.jpg,,,,,
ACS,ALIANȚA DE CENTRU STÂNGA (PSD+UNPR),,lipsa.jpg,,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. BD.AVIATORILOR, nr. 86",,București,
ADN,PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ,,lipsa.jpg,,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. SEVASTOPOL, nr. 6, ap. 4",,București,
AFR,PARTIDUL ASOCIATIA FEMEILOR DIN ROMANIA,,lipsa.jpg,42555481,"CONSTANŢA, MUNICIPIUL CONSTANŢA, str. GENERAL MANU, nr. 20",CT,Constanța,
AS,PARTIDUL ALIANȚA STRADA,,lipsa.jpg,,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. SEMICERCULUI, nr. 8",B,București,
BUN,BLOCUL UNITĂȚII NAȚIONALE,,lipsa.jpg,34716790,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Av. Stefan Sanatescu, nr. 43, ap. 3, CP11476",B,București,
CPN,COALIȚIA PENTRU NAȚIUNE,,lipsa.jpg,41522117,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Căpitan Aviator Nicolae Drossu, nr. 27",B,București,
DCD,PARTIDUL DIASPOREI CREȘTIN DEMOCRATE,,lipsa.jpg,n/a,"CLUJ, MUNICIPIUL CLUJ-NAPOCA, str. GÂRBĂU, nr. 12, ap. 33 A1",CJ,Cluj-Napoca,
FC,FORTA CIVICA,,lipsa.jpg,16850741,"Adresă: Strada Turnul Eiffel, Sector 2, Municipiul București",B,București,
FCER,Federatia Comunitatilor Evreiesti din Romania.,,FCER.jpg,7426470,"Sfânta Vineri, Sector 3, Municipiul București",B,București,minoritati
ION,PARTIDUL POLITIC INIȚIATIVA OTOPENIUL NOSTRU,,lipsa.jpg,42675240,"ILFOV, ORAŞ OTOPENI, str. 23 AUGUST, nr. 209A",IF,,
LIR,PARTIDUL LIGA INDEPENDENTĂ ROMÂNĂ,,lipsa.jpg,n/a,"IALOMIŢA, MUNICIPIUL FETEŞTI, str. CALARASI, nr. 571C, bl. 10, ap. 21",IL,,
MC,MIȘCAREA CONSERVATOARE IN ROMÂNIA,,lipsa.jpg,19171923,"MUNICIPIUL BUCUREŞTI, SECTORUL 3, str. Hristo Botev, nr. 3, ap. 5",B,București,
MV-DA,PARTIDUL MIȘCAREA VERZILOR DEMOCRATI AGRARIENI,,lipsa.jpg,,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. BUCUREȘTII NOI, nr. 209",B,București,
P.PRO,PARTIDUL PRODEMO,,lipsa.jpg,29158310,"MUNICIPIUL BUCUREŞTI, SECTORUL 3, str. ANIVERSARII, nr. 41, bl. MODUL 107",B,București,
P200B,PARTIDUL 200 PENTRU BUCUREȘTI,,lipsa.jpg,36013125,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Popa Tatu, nr. 40A",B,București,
PACASA,"PARTIDUL ALTERNATIVA CIVICĂ, ATITUDINE, SOLIDARITATE, ACȚIUNE",,lipsa.jpg,36639839,"MUNICIPIUL BUCUREŞTI, SECTORUL 2, str. Căminului, nr. 5, ap. 2, CP21742",B,București,
PADOMNESTI,Partidul Alianța pentru Domnești,,lipsa.jpg,35763030,"Intrarea AGATELOR, Satul Domnești, Comuna Domnești, Județul Ilfov",IF,,
PADR,PARTIDUL ALIANȚA DEMOCRATĂ A ROMILOR,,lipsa.jpg,34369631,"SIBIU, MUNICIPIUL SIBIU, str. GRAULUI, nr. 6",SB,,
PAR,PARTIDUL AGRICULTORILOR DIN ROMÂNIA,,lipsa.jpg,35401480,"ARGEŞ, MUNICIPIUL PITEŞTI, str. ALEEA ELIE RADU, nr. 3, bl. A1, ap. 17",AG,,
PARTRERO,PARTIDUL RENAȘTEREA ROMÂNIA,,lipsa.jpg,n/a,,,,
PAS,PARTIDUL ALTERNATIVA SOCIALISTĂ,,lipsa.jpg,n/a,,,,
PAV,PARTIDUL ALTERNATIVA DE VEST,,lipsa.jpg,36092978,"ARAD, MUNICIPIUL ARAD, str. B-dul Decebal, nr. 3, ap. 3A, CP310131",AD,,
PBANATUL,PARTIDUL BANATUL,,lipsa.jpg,40136800,"TIMIŞ, MUNICIPIUL TIMIŞOARA, str. MIHAIL KOGALNICEANU, bl. C9, ap. 12",TM,Timișoara,
PBOTOSANENILOR,PARTIDUL BOTOȘĂNENILOR,,lipsa.jpg,35252396,"BOTOŞANI, MUNICIPIUL BOTOŞANI, str. CALEA NAȚIONALĂ, nr. 107, bl. O3, ap. 16, CP710061",BT,,
PCA,PARTIDUL CIVIC ALIMPEȘTI,,lipsa.jpg,,"GORJ, ALIMPEŞTI, str. SAT CIUPERCENII DE OLTEȚ, nr. 128",GJ,,
PCO,PARTIDUL COMUNISTILOR,,lipsa.jpg,28204825,"ARGEŞ, MUNICIPIUL CURTEA DE ARGEŞ, str. ELENA CUZA, bl. B3, ap. 62",AG,,
PCR,PARTIDUL COMUNIST ROMÂN SECOLUL XXI,,lipsa.jpg,36840769,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Căpitanul Constantin, nr. 12",B,București,
PCSLR,PARTIDUL CREȘTIN SOCIAL LIBERAL ROMÂN,,lipsa.jpg,49275560,"ILFOV, CHIAJNA, str. TINERETULUI(SAT DUDU), nr. 6, ap. 15",,,
PCU,PARTIDUL COSTINEȘTIUL UNIT,,lipsa.jpg,42344301,"CONSTANŢA, COSTINEŞTI, str. TINERETULUI, nr. 65",CT,Costinești,
PD,ALIANȚA DREPTATE ȘI ADEVĂR D.A.PNL,,PD.jpg,16346990,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. BD.AVIATORILOR, nr. 86",B,București,
PDC,PARTIDUL DREAPTA CONSERVATOARE,,lipsa.jpg,44200280,"BRĂILA, MUNICIPIUL BRĂILA, str. Aleea Trandafirilor, nr. 5, bl. E1, ap. 71",,,
PDDSN,PARTIDUL DREPTĂȚII DEMNITĂȚII SOLIDARITĂȚII NAȚIONALE,,lipsa.jpg,35911870,"IAŞI, MUNICIPIUL IAŞI, str. Șos.Iasi-Voinești, nr. 132, CP700620",,,
PDEZVOLTARIIN,PARTIDUL DEZVOLTĂRII NAȚIONALE,,lipsa.jpg,,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. BARLOGENI, nr. 38-40, bl. CORP A",B,București,
PDIRO,PARTIDUL DIASPORA ROMANA,,lipsa.jpg,41223751,"CARAŞ-SEVERIN, ORAŞ BĂILE HERCULANE, str. Trandafirilor, nr. 97, CP325200",,,
PDREPTATII,PARTIDUL DREPTĂȚII,,lipsa.jpg,41773372,"OLT, MUNICIPIUL CARACAL, str. DRAGOȘ VODĂ, bl. A21, ap. 8",,,
PF,PARTIDUL FAPTA,,lipsa.jpg,35919040,"IAŞI, MUNICIPIUL IAŞI, str. STEFAN CEL MARE SI SFANT, nr. 4",,,
PFD,PARTIDUL FORȚA DEMOCRATĂ,,lipsa.jpg,16419120,"Calea Călărași, Sector 3, Municipiul București",B,București,
PFFR,PARTIDUL FRĂȚIA FORȚA ROMÂNIA,,lipsa.jpg,40060249,"MUNICIPIUL BUCUREŞTI, SECTORUL 4, str. Șoseaua Giurgiului, nr. 206",B,București,
PFP,PARTIDUL FORȚA PENSIONARILOR,,lipsa.jpg,38390296,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. SMARANDA BRAIESCU, nr. 38, bl. 20H, ap. 18",B,București,
PFR,PARTIDUL FORȚA ROMÂNEASCĂ,,lipsa.jpg,40734766,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. POET GRIGORE ALEXANDRESCU, nr. 82, bl. CORP A, ap. 3",B,București,
PG,PARTIDUL GĂLĂȚENILOR,,lipsa.jpg,46779848,"GALAŢI, MUNICIPIUL GALAŢI, str. OȚELARILOR, nr. 20, bl. P3, ap. 38",,,
PIRAT,PARTIDUL PIRAT ROMÂNIA,,lipsa.jpg,44836521,"CLUJ, MUNICIPIUL CLUJ-NAPOCA, str. Horea, nr. 4, ap. 1",CJ,Cluj-Napoca,
PLORD,PARTIDUL LEGE ȘI ORDINE- ROMÂNIA DEMOCRATĂ,,lipsa.jpg,38481483,"MUNICIPIUL BUCUREŞTI, SECTORUL 3, str. Bd. Decebal, nr. 1, bl. H2, ap. 121, CP30961",B,București,
PMCSA,PARTIDUL MÂNDRI CA SUNTEM ARADENI,,lipsa.jpg,36028819,"ARAD, MUNICIPIUL ARAD, str. CALIMANESTI, nr. 7, bl. 29, ap. 28",AD,Arad,
PML,PARTIDUL MIȘCAREA LIBERALĂ,,lipsa.jpg,,,,,
PMM,PARTIDUL MARAMUREȘENILOR,,lipsa.jpg,36051390,"MARAMUREŞ, MUNICIPIUL BAIA MARE, str. B-dul Independenței, nr. 4, CP430123",,,
PMSL,PARTIDUL MIȘCAREA SOCIAL LIBERALĂ,,lipsa.jpg,36015509,"BRAŞOV, ORAŞ RÂŞNOV, str. Republicii, nr. 12, CP505400",BV,Râșnov,
PNCI,PARTIDUL NAȚIONAL CIVIC,,lipsa.jpg,36386698,"MUNICIPIUL BUCUREŞTI, SECTORUL 3, str. P-ța Alba Iulia, nr. 3, bl. I2, ap. 41, CP031103",B,București,
PNDC,PARTIDUL NAȚIONAL DEMOCRAT CREȘTIN,,lipsa.jpg,7433028,"Strada Antim Ivireanu, Sector 5, Municipiul București",B,București,
PNGET,"PARTIDUL NOI, GETODACII !",,lipsa.jpg,,"DÂMBOVIŢA, BEZDEAD, str. Principală, nr. 236, CP137035",,,
PNOSTRU,PARTIDUL NOSTRU,,lipsa.jpg,36032607,"BRAŞOV, MUNICIPIUL BRAŞOV, str. FUNDĂTURA ROȘIORILOR, nr. 2",BV,,
PNREV,PARTIDUL NOUA REVOLUȚIE,,lipsa.jpg,,"MUNICIPIUL BUCUREŞTI, SECTORUL 3, str. Blv. Mircea Vodă, bl. 21BIS, ap. 10, CP30667",B,București,
PP,PARTIDUL POPORULUI,,lipsa.jpg,29366540,"Adresă: Strada Academiei, Sector 1, Municipiul București",B,București,
PP-LC,PARTIDUL POPORULUI,,lipsa.jpg,29366540,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. ACADEMIEI, nr. 7, ap. CAM 15-16",B,București,
PPDPS,PARTIDUL PENTRU DEZVOLTARE ȘI PROGRES SOCIAL,,lipsa.jpg,35120956,"IAŞI, POPRICANI, IAŞI, MUNICIPIUL IAŞI, str. Titu Maiorescu, nr. 10, ap. 12",,,
PPE-DE,ALIANȚA PARTIDUL POPULAR EUROPEAN ȘI DEMOCRAȚI EUROPENI,,lipsa.jpg,,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. PECETEI, nr. 4A, bl. 4, ap. 188",B,București,
PPI,PARTIDUL PENTRU IAȘI,,lipsa.jpg,36556377,"IAŞI, MUNICIPIUL IAŞI, str. Otilia Cazimir, nr. 15, ap. 4, CP700400",,,
PPOPULARR,PARTIDUL POPULAR DIN ROMÂNIA,,lipsa.jpg,38291705,"MUNICIPIUL BUCUREŞTI, SECTORUL 2, str. Arh. Ionescu Grigore, nr. 63, bl. T73, ap. 40",B,București,
PPP,PARTIDUL PROGRESUL POPORULUI,,lipsa.jpg,43136139,"MUNICIPIUL BUCUREŞTI, SECTORUL 2, str. SOS.VERGULUI, nr. 67, bl. 15D, ap. 54",B,București,
PR,PARTIDUL REVOLUȚIEI,,lipsa.jpg,,"MUNICIPIUL BUCUREŞTI, SECTORUL 2, str. Olari, nr. 9, ap. 3",B,București,
PREGALISTR,PARTIDUL REGALIST ROMÂN,,lipsa.jpg,47908649,"BOTOŞANI, MUNICIPIUL BOTOŞANI, str. Calea Nationala, nr. 107, bl. O2, ap. 21",BT,,
PRENASTEREAR,PARTIDUL RENAȘTEREA ROMÂNEASCĂ,,lipsa.jpg,,"CONSTANŢA, VALU LUI TRAIAN, str. ION CREANGĂ, nr. 5, bl. TRIAJ",CT,Valu lui Traian,
PRENASTERIIN,PARTIDUL RENASTERII NATIONALE,,lipsa.jpg,45446365,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. PETRU MAIOR, nr. 38",B,București,
PROE,PARTIDUL ROMÂNIEI EUROPENE,,lipsa.jpg,22085130,"Drumul Taberei, Sector 6, Municipiul București",B,București,
PROGRES,PARTIDUL PROGRESIST,,lipsa.jpg,41986621,"CONSTANŢA, MUNICIPIUL CONSTANŢA, str. LABIRINT, nr. 35C",CT,Constanța,
PROMILORD,PARTIDUL ROMILOR DEMOCRATI,,lipsa.jpg,36033157,"BUZĂU, MUNICIPIUL BUZĂU, str. VULCANI, nr. 13",BZ,,
PRPP,PARTIDUL ROMÂNILOR PATRIOȚI DE PRETUTINDENI,,lipsa.jpg,42617002,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. DINICU GOLESCU, nr. 23-25, bl. B, ap. 19",B,București,
PRR,PARTIDUL ROMÂNIA RAȚIONALĂ,,lipsa.jpg,41734500,"CONSTANŢA, ORAŞ NĂVODARI, str. C1, nr. 58B-C5, ap. Biroul nr.2",CT,Năvodari,
PRestart,PARTIDUL RE:START ROMÂNIA,,lipsa.jpg,,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. GH. IONESCU SINESTI, nr. 33",B,București,
PSD-UNPR-PC,PSD-UNPR-PC,,PSD-UNPR-PC.jpg,,,,,
PSDCTP,PARTIDUL SOCIAL DEMOCRAT - CONSTANTIN TITEL PETRESCU,,lipsa.jpg,,,,,
PSDI,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,,lipsa.jpg,4747352,"MUNICIPIUL BUCUREŞTI, SECTORUL 5, str. MIHAIL OBEDENARU, nr. 33",B,București,
PSU,PARTIDUL STÂNGII UNITE,,lipsa.jpg,18699301,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. BREZOIANU, nr. 23-25",B,București,
PSV,PARTIDUL SEBESUL VERDE,,lipsa.jpg,46423980,"ALBA, MUNICIPIUL SEBEŞ, str. LOCALITATE PETRESTI, nr. 16",,,
PTPT,"PARTIDUL ""TOTUL PENTRU ȚARĂ""",,lipsa.jpg,,,,,
PUER,PARTIDUL UNIUNEA ECOLOGISTĂ DIN ROMÂNIA,,lipsa.jpg,24854477,"Calea Dudești, Sector 3, Municipiul București",B,București,
PUPR,PARTIDUL UPR,,lipsa.jpg,36038340,"SUCEAVA, MUNICIPIUL RĂDĂUŢI, str. Dobrogeanu Gherea, nr. 25C, CP725400",,,
PVN,PARTIDUL VRANCEA NOASTRĂ,,lipsa.jpg,36204834,"VRANCEA, MUNICIPIUL FOCŞANI, str. Bvd. Independentei, nr. 47, ap. 11",,,
TODE,"PARTIDUL POLITIC 'TRADIȚIE, ONOARE, DISCIPLINĂ,EXCELENTĂ'",,lipsa.jpg,,"CLUJ, MUNICIPIUL CLUJ-NAPOCA, str. Calea Dorobantilor, nr. 99-101, bl. 9B, ap. 2",CJ,Cluj-Napoca,
UCSP,UNIUNEA CIVICA SLANIC PRAHOVA,,lipsa.jpg,42166050,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. INTRAREA DRIDU, nr. 3, bl. M, ap. 37",B,București,
UDTTMR,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,,lipsa.jpg,4707528,,,,minoritati
UDUR,UNIUNEA DEMOCRATĂ A UCRAINENILOR DIN ROMÂNIA,,lipsa.jpg,,,,,
UFL,PARTIDUL UNIUNEA FORȚELOR LOCALE,,lipsa.jpg,41694856,"MUNICIPIUL BUCUREŞTI, SECTORUL 6, str. ALEEA BÂRSĂNEȘTI, nr. 1, bl. 159, ap. 112",B,București,
UNDOR,"UNIUNEA NAȚIONALĂ PENTRU DEMOCRAȚIE,OMENIE,RESPECT",,lipsa.jpg,42960573,"OLT, MORUNGLAV, str. SAT BĂRĂȘTI, STR.PRINCIPALĂ, nr. 41, CP237270",OT,,
UPC,PARTIDUL UNIUNEA PENTRU CODLEA,,lipsa.jpg,36036196,"BRAŞOV, MUNICIPIUL CODLEA, str. LATERALA, nr. 82",BV,,
UPR,UNIUNEA POLONEZILOR DIN ROMÂNIA - DOM POLSKI,,lipsa.jpg,11441371,"Strada Jean Louis Calderon, Sector 2, Municipiul București",B,București,minoritati
UPSC,UNIUNEA POPULARĂ SOCIAL CREȘTINĂ,,lipsa.jpg,21262810,"MUNICIPIUL BUCUREŞTI, SECTORUL 2, str. VERII, nr. 8",B,București,
UPSS,UNIUNEA PENSIONARILOR ȘI A SOLIDARITĂȚII SOCIALE - UNIUNEA,,lipsa.jpg,n/a,,,,
USL,UNIUNEA SOCIAL LIBERALĂ,,USL.jpg,29814201,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. SOS.KISELEFF, nr. 57",B,București,
UVE,ALIANȚA UNIUNEA VERDE ECOLOGISTĂ,,lipsa.jpg,,"MUNICIPIUL BUCUREŞTI, SECTORUL 6, str. IULIU MANIU, nr. 78-92",B,București,
ABR,PARTIDUL ACTIUNEA PENTRU BUNASTAREA ROMANILOR,,lipsa.jpg,47995084,"Strada Fildeșului, Sector 3, Municipiul București",,București,
ACUM,PARTIDUL ACUM,,lipsa.jpg,45784064,"Strada Mașina de Pâine, Sector 2, Municipiul București",,București,
AER-2,ALIANTA ETOCRATA PENTRU REFORMA,,lipsa.jpg,47035773,"Bulevardul Ioniță Sandu Sturza, Municipiul Bacău, Județul Bacău",BC,,
AFC,ALIANTA FEMEILOR CRESTINE DIN ROMANIA,,lipsa.jpg,47496505,"Strada Barbu Iscovescu, Sector 1, Municipiul București",,București,
AMU,ALIANTA MOTILOR UNITI,,lipsa.jpg,47100251,,,,
ANC,ALIANTA NATIONAL CRESTINA,,lipsa.jpg,32691672,"Strada Topaz, Orașul Bragadiru, Județul Ilfov",IF,,
APP-2,PARTIDUL ALIANTA PENTRU PATRIE,,lipsa.jpg,45040960,"Strada Păcii, Satul Chiajna, Comuna Chiajna, Județul Ilfov",IF,,
APS,PARTIDUL ALIANTA POPORULUI SUVERAN,,lipsa.jpg,45337384,"Strada Principală, Satul Negreia, Comuna Șișești, Județul Maramureș",MM,,
ARCA,PARTIDUL ARCA - DREPTATE ADEVĂR CREDINŢĂ,,lipsa.jpg,41590782,"Strada Jiului, Sector 1, Municipiul București",,București,
ATU,PARTIDUL POLITIC ALIANTA PENTRU TRANSPARENTA SI UNITATE,,lipsa.jpg,n/a,,,,
AURR,ALIANȚA PENTRU UNITATEA RROMILOR,,lipsa.jpg,9526050,"AL. EMIL BOTTA, Sector 3, Municipiul București",B,București,
COMUNIŞTII,PARTIDUL COMUNISTII,,lipsa.jpg,n/a,,,,
DUR,PARTIDUL DIASPORA UNITA CU ROMANIA,,lipsa.jpg,46008916,"Aleea Școlii, Satul Furnicari, Comuna Tamași, Județul Bacău",BC,,
ECO,"PARTIDUL ROMANIA - ECHITATE, COMUNITATE, ONESTITATE",,lipsa.jpg,46025496,"Strada Jean Louis Calderon, Sector 2, Municipiul București",B,București,
EFOROM,PARTIDUL EFORIE ROM,,lipsa.jpg,45487926,"Strada Bogdan Petriceicu Hașdeu, Localitatea Eforie Nord, Orașul Eforie, Județul Constanța",CT,Eforie Nord,
LEU,PARTIDUL LEGE EDUCATIE UNITATE,,lipsa.jpg,46450453,"Strada Lonea, Sector 1, Municipiul București",B,București,
LUP,LIGA PENTRU UNIFICAREA PATRIOTILOR,,lipsa.jpg,47149735,"Strada Mărgeanului, Sector 5, Municipiul București",B,București,
MIR,MISCAREA IUBIM ROMANIA,,lipsa.jpg,46720654,,,,
NOI,NATIUNE OAMENI IMPREUNA,,lipsa.jpg,,,,,
PAMSS,"PARD.ARTISTILOR,MUZICIENILOR,SCRIITORILOR SI SPORT",,lipsa.jpg,,,,,
PARC,PARTIDUL ”ALIANTA ROMANIA CENTENAR”,,lipsa.jpg,48081158,"Strada Agricultori, Sector 3, Municipiul București",B,București,
PATRIA,PARTIDUL PATRIA,,lipsa.jpg,47783901,"Intrarea Umbroasă, Municipiul Timișoara, Județul Timiș",TM,Timișoara,
PB9,PARTIDUL BRĂILA NOUĂ,,lipsa.jpg,39307494,"BRĂILA, MUNICIPIUL BRĂILA, str. AL.IOAN CUZA, nr. 8",BR,,
PBD,PARTIDUL BUNASTARII DECENTE,,lipsa.jpg,45688024,"Strada Popovici, Orașul Breaza, Județul Prahova",PH,,
PCx,PARTIDUL CONSERVATOR,,PC.jpg,9008644,"Strada Academiei, Sector 1, Municipiul București",B,București,
PC,PARTIDUL CONSERVATOR,,PC.jpg,5496127,,B,București,
PCC,PARTIDUL CAMPINA CURATA,,lipsa.jpg,47190548,"Strada Bobâlna, Municipiul Câmpina, Județul Prahova",PH,,
PCD,PARTIDUL CONSERVATOR DEMOCRAT,,lipsa.jpg,44323100,"Bulevardul George Coșbuc, Municipiul Galați, Județul Galați",GL,,
PDCRR,PARTIDUL DEMOCRAT CREȘTIN AL ROMILOR DIN ROMÂNIA,,lipsa.jpg,39475455,"CLUJ, GILĂU, str. Principală, nr. 396, CP407310",CJ,Gilău,
PESR,PARTIDUL ECOLOGIST SOCIALIST ROMÂN,,lipsa.jpg,35199195,"CONSTANŢA, MUNICIPIUL CONSTANŢA, str. Stefan cel Mare, nr. 51",CT,Constanța,
PHU,PARTIDUL HUNEDOARA UNITA,,lipsa.jpg,45358999,"Aleea Flamingo, Municipiul Deva, Județul Hunedoara",,,
PLEN,PARTIDUL LIBERTATII SI EGALITATII NATIONALE,,lipsa.jpg,45850850,"Strada Luncii, Satul Bărcănești, Comuna Bărcănești, Județul Ialomița",,,
PMCD,PARTIDUL MUNCITORESC CRESTIN SI DEMOCRAT,,lipsa.jpg,47173946,"Aleea Poieniței, Municipiul Pitești, Județul Argeș",,,
PNCENTRU,Partidul National de Centru,,lipsa.jpg,38417340,,,,
PNCR,Partidul National Conservator Roman,,lipsa.jpg,49198270,,,,
PNSR,PARTIDUL NATIONAL STANGA ROMANEASCA,,lipsa.jpg,45500731,"Strada Tuzla, Sector 2, Municipiul București",B,București,
PNSTR,PARTIDUL NATIONAL AL SOFERILOR SI TRANSPORTATORILOR DIN ROMANIA,,lipsa.jpg,,,,,
PNVR,PARTIDUL NATIONAL VATRA ROMANEASCA,,lipsa.jpg,45536468,"Strada Mihai Eminescu, Municipiul Deva, Județul Hunedoara",,,
PO,PARTIDUL OLTENILOR,,lipsa.jpg,47029062,"Strada Deceneu, Municipiul Craiova, Județul Dolj",,,
POC,PARTIDUL OAMENILOR CREDINCIOSI,,lipsa.jpg,42898986,"Strada Ion Tudor, Sector 3, Municipiul București",B,București,
PPATRIOTILOR,PARTIDUL PATRIOTILOR,,lipsa.jpg,45867089,"Prelungirea Ghencea, Sector 6, Municipiul București",B,București,
PPNR,PARTIDUL PLATFORMA NATIONAL REPUBLICANA,,lipsa.jpg,44989746,"Strada Ion Câmpineanu, Sector 1, Municipiul București",B,București,
PPOS,PARTIDUL PENTRU ODORHEIU SECUIESC,,lipsa.jpg,46564687,"Strada Nicolae Bălcescu, Municipiul Odorheiu Secuiesc, Județul Harghita",,,
PPR-2,PARTIDUL PATRIOTII POPORULUI ROMAN,,lipsa.jpg,46463461,"Strada Iuliu Maniu, Municipiul Oradea, Județul Bihor",,,
PPRD1989,PARTIDUL POLITIC AL REVOLUTIONARILOR DIN DECEMBRIE,,lipsa.jpg,,,,,
PPU,PARTIDUL PENSIONARILOR UNITI,,lipsa.jpg,46799977,"Satul Dobroțu, NR. 184, Județul Argeș",,,
PRDN,PARTIDUL RENASTEREA DEMNITATII NATIONALE,,lipsa.jpg,43823248,"Strada Morilor, Municipiul Iași, Județul Iași",,,
PRE,PARTIDUL ROMÂNIEI EUROPENE,,lipsa.jpg,22085130,"MUNICIPIUL BUCUREŞTI, SECTORUL 6, str. Drumul Taberei, nr. 26, bl. T1, ap. 119",B,București,
PROAC,PARTIDUL ROMANIA ACTIVA,,lipsa.jpg,47141863,"Strada Malul Roșu, Municipiul Ploiești, Județul Prahova",PH,,
PRSAC,PARTIDUL RENASTEREA SĂCALAZULUI,,lipsa.jpg,35880994,"TIMIŞ, SĂCĂLAZ, str. Sacalaz, nr. 205, CP307370",TM,Timișoara,
PSD+PNL,PSD+PNL,,lipsa.jpg,,,,,
PSDE,PARTIDUL DREPTATII SOCIALE EUROPEAN,,lipsa.jpg,47139820,"Bulevardul Gheorghe Șincai, Sector 4, Municipiul București",B,București,
PSS,PARTIDUL SOLIDARITATII SOCIALE,,lipsa.jpg,47022145,"Strada Balogh István, Municipiul Oradea, Județul Bihor",,,
PSSRO,PARTIDUL SOLIDARITATII SOCIALE DIN ROMANIA,,lipsa.jpg,6881040,"Splaiul Independenței, Sector 6, Municipiul București",B,București,
PVR,PARTIDUL VADIMIST ROMAN,,lipsa.jpg,44609693,"Splaiul Independenței, Sector 6, Municipiul București",B,București,
REPER,PARTIDUL REINNOIM PROIECTUL EUROPEAN AL ROMANIEI,,lipsa.jpg,46692538,"Strada Trivale, Sector 4, Municipiul București",B,București,
RO SOCIALISTĂ,Alianta Romania Socialistă,,lipsa.jpg,,,,,
ROEXIT,PARTIDUL ROEXIT,,lipsa.jpg,47224330,"Strada Oaș, Municipiul Cluj-Napoca, Județul Cluj",CJ,Cluj-Napoca,
TNT,UNIUNEA ROMANILOR NATIONAL CRESTINI,,lipsa.jpg,44292659,"Strada Zori de Zi, Sector 5, Municipiul București",B,București,
UFR,PARTIDUL UNIUNEA FAMILIEI ROMANESTI,,lipsa.jpg,46202350,"Bulevardul Emanoil Protopopescu-Pake, Sector 2, Municipiul București",B,București,
UNR,PARTIDUL UNIUNEA NATIUNII ROMANE,,lipsa.jpg,45943666,"Strada Mihai Viteazu, Municipiul Reghin, Județul Mureș",MS,,
USR+PMP+FD,Alianta Dreapta Unită,,lipsa.jpg,,,,,
VOLT,PARTIDUL VOLT ROMANIA,,lipsa.jpg,44681877,"Șoseaua Alexandria, Satul Ciolăneștii din Vale, Comuna Ciolănești, Județul Teleorman",TL,,
pppsiis,PARTIDUL PENTRU PROIECTE SI IDEI DE INTERES SOCIAL,,lipsa.jpg,34877940,"MUNICIPIUL BUCUREȘTI, SECTOR 5, STR. TELIU, NR.2",,,
LIDER,LIGA PENTRU DEŞTEPTAREA ROMÂNIEI,,lipsa.jpg,34877940,,,,
UCM,UNIUNEA CREŞTIN MUNCITOREASCĂ,,lipsa.jpg,4935924,,,,
